timestamp,action,recipe,match_count,missing_count,matched,missing,total
2025-10-10T15:19:29,reject,"Vanilla Sorbet with Fruit",2,3,"milk, sugar","corn syrup, heavy whipping cream, vanilla bean",5
2025-10-10T15:20:46,reject,"Vanilla Sorbet with Fruit",2,3,"milk, sugar","corn syrup, heavy whipping cream, vanilla bean",5
2025-10-10T16:53:30,accept,"Broccoli With Lemon Butter",2,3,"pepper, salt","broccoli floret, butter, lemon juice",5
2025-10-10T16:55:18,accept,"Honey Glazed Hickory Chicken",3,3,"chicken, pepper, salt","hickory chips, honey, lemon juice",6
2025-10-10T17:26:45,accept,"3 Ingredient Melt in Your Mouth Shortbread Cookies",2,1,"butter, flour","icing sugar",3
2025-10-10T17:27:29,accept,"3 Ingredient Melt in Your Mouth Shortbread Cookies",2,1,"butter, flour","icing sugar",3
2025-10-10T17:28:58,accept,"Marti's Homemade Noodles",2,2,"flour, milk","egg, salt",4
2025-10-10T17:39:45,reject,"Strawberry Ice Cream",2,2,"milk, sugar","heavy cream, strawberry",4
2025-10-10T17:39:57,reject,"Swedish Pancakes",4,2,"butter, flour, milk, sugar","eggs, salt",6
2025-10-10T17:40:09,reject,"White Gravy",3,0,"butter, flour, milk","",3
2025-10-10T17:40:16,accept,"Norwegian Pancakes",3,1,"butter, flour, milk","eggs",4
2025-10-16T21:31:21,reject,"Meringue Cookies",2,2,"salt, sugar","egg whites, vanilla",4
2025-10-16T21:31:31,accept,"Eggnog Flan",3,1,"eggs, salt, sugar","eggnog",4
2025-10-19T21:48:17,accept,"Eggnog Flan",2,2,"salt, sugar","eggnog, eggs",4
2025-10-22T23:08:30,accept,"Honey Glazed Hickory Chicken",4,2,"chicken, honey, pepper, salt","hickory chips, lemon juice",6
2025-10-23T14:28:31,reject,"Caramelized Ginger Onions (Ww)",2,2,"olive oil, onions","cider vinegar, fresh gingerroot",4
2025-10-23T14:28:43,reject,"Paula Deen's Garlic Cheese Spread",2,2,"black pepper, cheese","cream cheese, garlic powder",4
2025-10-23T14:28:58,accept,"Zucchini and Yellow Squash Tian",11,2,"basil, black pepper, breadcrumbs, flour, garlic, olive oil, parmesan cheese, red pepper, salt, yellow squash, zucchini","fresh thyme, yellow onions",13
2025-10-23T14:34:27,reject,"Trader Joe's &quot;Greatest and Easiest Chocolate Cake&quot;",2,2,"baking soda, buttermilk","cocoa powder, vanilla",4
2025-10-23T14:34:40,reject,"Braised Chicken Thighs",2,2,"chicken thighs, water","onion soup, poultry seasoning",4
2025-10-23T14:34:47,reject,"Chocolate Cow Pies",3,2,"baking soda, buttermilk, vegetable oil","unsweetened cocoa powder, vanilla",5
2025-10-23T14:34:53,reject,"Meringue Powder Glaze",2,2,"sugar, water","meringue powder, paste food coloring",4
2025-10-23T14:35:29,accept,"Sour Cream Pie Crust",3,2,"butter, flour, salt","egg, sour cream",5
2025-10-23T15:03:31,reject,"Trader Joe's &quot;Greatest and Easiest Chocolate Cake&quot;",2,2,"baking soda, buttermilk","cocoa powder, vanilla",4
2025-10-23T15:03:39,reject,"Soy Ginger Sauce",2,2,"oil, sugar","gingerroot, soy sauce",4
2025-10-23T15:04:00,accept,"Best-Ever Homemade Pancakes",5,2,"butter, eggs, flour, milk, sugar","baking powder, salt",7
2025-10-23T15:04:09,reject,"White Gravy",3,0,"butter, flour, milk","",3
2025-10-23T15:04:13,reject,"White Gravy",3,0,"butter, flour, milk","",3
2025-10-23T15:04:19,accept,"French Vanilla Crepes",5,2,"butter, eggs, flour, milk, sugar","good vanilla (i use mexican), salt",7
2025-10-23T15:04:36,accept,"Buttermilk Pancakes",3,1,"baking soda, buttermilk, flour","baking powder",4
2025-10-23T15:04:57,accept,"5 Minute Chocolate Cake",4,2,"flour, milk, oil, sugar","cocoa powder, egg",6
2025-10-23T15:19:25,accept,"Potato Chip Chicken Breasts",2,2,"chicken, eggs","bag potato chips, milk",4
2025-10-23T15:19:42,reject,"Quick Pork Sauce",2,2,"garlic, soy sauce","dijon mustard, honey",4
2025-10-23T15:21:38,accept,"Eggnog Flan",3,1,"eggs, salt, sugar","eggnog",4
2025-10-23T15:21:46,reject,"Ma Nl Jang Ah Jji (Pickled Garlic in Soy Sauce)",4,1,"garlic, salt, soy sauce, sugar","rice vinegar",5
2025-10-23T15:21:53,accept,"Mochiko Chicken",10,0,"chicken, cornstarch, eggs, flour, garlic, green onion, oil, salt, soy sauce, sugar","",10
2025-10-23T15:21:58,reject,"Swedish Pancakes",4,2,"eggs, flour, salt, sugar","melted butter, milk",6
2025-10-23T15:22:01,reject,"Swedish Pancakes",4,2,"eggs, flour, salt, sugar","melted butter, milk",6
2025-10-23T15:22:29,accept,"Marti's Homemade Noodles",2,2,"flour, salt","egg, milk",4
2025-10-23T15:22:36,accept,"Meringue Cookies",2,2,"salt, sugar","egg whites, vanilla",4
2025-10-23T15:25:06,accept,"Nuwave Easiest Strawberry Shortcake Ever",3,2,"butter, milk, sugar","baking mix, fresh strawberries",5
2025-10-23T15:25:19,accept,"Marti's Homemade Noodles",2,2,"egg, milk","flour, salt",4
2025-10-23T15:25:21,accept,"Marti's Homemade Noodles",2,2,"egg, milk","flour, salt",4
2025-10-23T15:25:21,accept,"Marti's Homemade Noodles",2,2,"egg, milk","flour, salt",4
2025-10-23T15:25:21,accept,"Marti's Homemade Noodles",2,2,"egg, milk","flour, salt",4
2025-10-23T15:25:22,accept,"Marti's Homemade Noodles",2,2,"egg, milk","flour, salt",4
2025-10-23T15:25:23,accept,"Marti's Homemade Noodles",2,2,"egg, milk","flour, salt",4
2025-10-23T15:25:48,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:48,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:48,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:49,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:49,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:49,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:49,accept,"Kiwi Tart",7,0,"cornstarch, egg, kiwi, lemon juice, milk, pie crust, sugar","",7
2025-10-23T15:25:54,reject,"Broccoli With Lemon Butter",2,2,"butter, lemon juice","broccoli floret, fresh ground pepper",4
2025-10-23T15:25:55,reject,"Broccoli With Lemon Butter",2,2,"butter, lemon juice","broccoli floret, fresh ground pepper",4

