timestamp,action,recipe,match_count,missing_count,matched,missing,total
2025-10-10T15:19:29,reject,"Vanilla Sorbet with Fruit",2,3,"milk, sugar","corn syrup, heavy whipping cream, vanilla bean",5
2025-10-10T15:20:46,reject,"Vanilla Sorbet with Fruit",2,3,"milk, sugar","corn syrup, heavy whipping cream, vanilla bean",5
2025-10-10T16:53:30,accept,"Broccoli With Lemon Butter",2,3,"pepper, salt","broccoli floret, butter, lemon juice",5
2025-10-10T16:55:18,accept,"Honey Glazed Hickory Chicken",3,3,"chicken, pepper, salt","hickory chips, honey, lemon juice",6
2025-10-10T17:26:45,accept,"3 Ingredient Melt in Your Mouth Shortbread Cookies",2,1,"butter, flour","icing sugar",3
2025-10-10T17:27:29,accept,"3 Ingredient Melt in Your Mouth Shortbread Cookies",2,1,"butter, flour","icing sugar",3
2025-10-10T17:28:58,accept,"Marti's Homemade Noodles",2,2,"flour, milk","egg, salt",4
2025-10-10T17:39:45,reject,"Strawberry Ice Cream",2,2,"milk, sugar","heavy cream, strawberry",4
2025-10-10T17:39:57,reject,"Swedish Pancakes",4,2,"butter, flour, milk, sugar","eggs, salt",6
2025-10-10T17:40:09,reject,"White Gravy",3,0,"butter, flour, milk","",3
2025-10-10T17:40:16,accept,"Norwegian Pancakes",3,1,"butter, flour, milk","eggs",4
